% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
3840	0	3	10	0	8	29	0	1	0	2.09156
3840	0	4	8	0	8	29	0	1	1	2.64221e+06
3840	0	4	10	0	8	29	0	1	0	9.79816
3840	0	4	5	0	8	29	0	1	0	0.643954
3840	0	6	8	0	8	29	0	1	1	2.80759e+07
3840	0	6	5	0	8	29	0	1	0	18.0443
3840	0	6	10	0	8	29	0	1	0	0.34967
3840	0	7	8	0	8	29	0	1	1	3.41546e+06
3840	0	7	10	0	8	29	0	1	0	8.18429
3840	0	7	5	0	8	29	0	1	0	0.770936
3840	0	9	8	0	8	29	0	1	1	1.67831e+06
3840	0	9	10	0	8	29	0	1	0	157.358
3840	0	9	5	0	8	29	0	1	0	0.0400968
3848	0	1	4	0	8	29	0	1	1	1.70506e+07
3848	0	1	6	0	8	29	0	1	1	6.28558e+06
3848	0	1	3	0	8	29	0	1	1	6.23653e+06
3848	0	2	3	0	8	29	0	1	1	2.04847e+07
3848	0	2	6	0	8	29	0	1	1	8.27134e+06
3848	0	2	4	0	8	29	0	1	1	4.75478e+06
3848	0	5	6	0	8	29	0	1	1	1.45181e+07
3848	0	5	3	0	8	29	0	1	1	6.23678e+06
3848	0	5	4	0	8	29	0	1	1	1.95183e+06
3848	0	7	4	0	8	29	0	1	1	2.41875e+07
3848	0	7	3	0	8	29	0	1	1	5.40751e+06
3848	0	7	6	0	8	29	0	1	1	5.30581e+06
3848	0	8	6	0	8	29	0	1	1	2.80759e+07
3848	0	8	4	0	8	29	0	1	1	2.64221e+06
3848	0	8	3	0	8	29	0	1	1	1.91882e+06
3848	0	9	4	0	8	29	0	1	1	7.62567e+06
3848	0	9	3	0	8	29	0	1	1	7.59379e+06
3848	0	9	6	0	8	29	0	1	1	2.48379e+06
3848	0	10	4	0	8	29	0	1	1	7.61355e+06
3848	0	10	3	0	8	29	0	1	1	5.19314e+06
3848	0	10	6	0	8	29	0	1	1	2.02101e+06
3852	0	1	7	0	8	29	0	1	1	5.46974e+08
3852	0	1	2	0	8	29	0	1	1	2.13373e+07
3852	0	1	9	0	8	29	0	1	1	1.45812e+07
3852	0	3	2	0	8	29	0	1	1	2.04847e+07
3852	0	3	9	0	8	29	0	1	1	7.59379e+06
3852	0	3	7	0	8	29	0	1	1	5.40751e+06
3852	0	4	7	0	8	29	0	1	1	2.41875e+07
3852	0	4	9	0	8	29	0	1	1	7.62567e+06
3852	0	4	2	0	8	29	0	1	1	4.75478e+06
3852	0	5	2	0	8	29	0	1	1	9.95737e+06
3852	0	5	7	0	8	29	0	1	1	3.51569e+06
3852	0	5	9	0	8	29	0	1	1	2.40221e+06
3852	0	6	2	0	8	29	0	1	1	8.27134e+06
3852	0	6	7	0	8	29	0	1	1	5.30581e+06
3852	0	6	9	0	8	29	0	1	1	2.48379e+06
3852	0	8	2	0	8	29	0	1	1	3.68704e+06
3852	0	8	7	0	8	29	0	1	1	3.41546e+06
3852	0	8	9	0	8	29	0	1	1	1.67831e+06
3852	0	10	9	0	8	29	0	1	1	1.50488e+08
3852	0	10	7	0	8	29	0	1	1	1.14549e+07
3852	0	10	2	0	8	29	0	1	1	5.98342e+06
3856	0	2	1	0	8	29	0	1	1	2.13373e+07
3856	0	3	1	0	8	29	0	1	1	6.23653e+06
3856	0	4	1	0	8	29	0	1	1	1.70506e+07
3856	0	5	1	0	8	29	0	1	1	4.15374e+06
3856	0	6	1	0	8	29	0	1	1	6.28558e+06
3856	0	7	1	0	8	29	0	1	1	5.46974e+08
3856	0	8	1	0	8	29	0	1	1	3.76424e+06
3856	0	9	1	0	8	29	0	1	1	1.45812e+07
3856	0	10	1	0	8	29	0	1	1	9.98661e+06
4160	0	1	2	0	8	29	0	1	1	2.13373e+07
4160	0	1	6	0	8	29	0	1	1	6.28558e+06
4160	0	3	2	0	8	29	0	1	1	2.04847e+07
4160	0	3	6	0	8	29	0	1	1	3.4633e+06
4160	0	4	2	0	8	29	0	1	1	4.75478e+06
4160	0	4	6	0	8	29	0	1	1	3.1415e+06
4160	0	5	6	0	8	29	0	1	1	1.45181e+07
4160	0	5	2	0	8	29	0	1	1	9.95737e+06
4160	0	7	2	0	8	29	0	1	1	1.52535e+07
4160	0	7	6	0	8	29	0	1	1	5.30581e+06
4160	0	8	6	0	8	29	0	1	1	2.80759e+07
4160	0	8	2	0	8	29	0	1	1	3.68704e+06
4160	0	9	2	0	8	29	0	1	1	9.23615e+06
4160	0	9	6	0	8	29	0	1	1	2.48379e+06
4160	0	10	2	0	8	29	0	1	1	5.98342e+06
4160	0	10	6	0	8	29	0	1	1	2.02101e+06
4164	0	1	3	0	8	29	0	1	1	6.23653e+06
4164	0	1	5	0	8	29	0	1	1	4.15374e+06
4164	0	2	3	0	8	29	0	1	1	2.04847e+07
4164	0	2	5	0	8	29	0	1	1	9.95737e+06
4164	0	4	3	0	8	29	0	1	1	2.54113e+06
4164	0	4	5	0	8	29	0	1	1	1.95183e+06
4164	0	6	5	0	8	29	0	1	1	1.45181e+07
4164	0	6	3	0	8	29	0	1	1	3.4633e+06
4164	0	7	3	0	8	29	0	1	1	5.40751e+06
4164	0	7	5	0	8	29	0	1	1	3.51569e+06
4164	0	8	5	0	8	29	0	1	1	5.29492e+06
4164	0	8	3	0	8	29	0	1	1	1.91882e+06
4164	0	9	3	0	8	29	0	1	1	7.59379e+06
4164	0	9	5	0	8	29	0	1	1	2.40221e+06
4164	0	10	3	0	8	29	0	1	1	5.19314e+06
4164	0	10	5	0	8	29	0	1	1	1.89993e+06
4172	0	2	10	0	8	29	0	1	1	5.98342e+06
4172	0	2	4	0	8	29	0	1	1	4.75478e+06
4172	0	2	8	0	8	29	0	1	1	3.68704e+06
4172	0	2	1	0	8	29	0	1	0	3.51375
4172	0	2	7	0	8	29	0	1	0	1.79568
4172	0	3	10	0	8	29	0	1	1	5.19314e+06
4172	0	3	4	0	8	29	0	1	1	2.54113e+06
4172	0	3	8	0	8	29	0	1	1	1.91882e+06
4172	0	3	1	0	8	29	0	1	0	2.89698
4172	0	3	7	0	8	29	0	1	0	2.17798
4172	0	5	8	0	8	29	0	1	1	5.29492e+06
4172	0	5	4	0	8	29	0	1	1	1.95183e+06
4172	0	5	10	0	8	29	0	1	1	1.89993e+06
4172	0	5	1	0	8	29	0	1	0	2.96776
4172	0	5	7	0	8	29	0	1	0	2.12604
4172	0	6	8	0	8	29	0	1	1	2.80759e+07
4172	0	6	4	0	8	29	0	1	1	3.1415e+06
4172	0	6	10	0	8	29	0	1	1	2.02101e+06
4172	0	6	1	0	8	29	0	1	0	2.97573
4172	0	6	7	0	8	29	0	1	0	2.12034
4172	0	9	10	0	8	29	0	1	1	1.50488e+08
4172	0	9	4	0	8	29	0	1	1	7.62567e+06
4172	0	9	8	0	8	29	0	1	1	1.67831e+06
4172	0	9	7	0	8	29	0	1	0	2.75714
4172	0	9	1	0	8	29	0	1	0	2.28845
